name,address,city,state,zip_code,country,latitude,longitude,searched
KFC I-95 At Mile Marker 96.8,I-95 At Mile Marker 96.8,North East,MD,21901,US,,,True
KFC I-95 At Mile Marker 96.8,I-95 At Mile Marker 96.8,North East,MD,21901,US,,,True
KFC 5785 S.W. Crain Highway,5785 S.W. Crain Highway,Upper Marlboro,MD,20772,US,,,True
KFC 603 Broadway Street,603 Broadway Street,Bangor,ME,4401,US,,,True
KFC 1405 Capitol Avenue N.E,1405 Capitol Avenue N.E,Battle Creek,MI,49017,US,,,True
KFC 3785 Gratiot St,3785 Gratiot St,Detroit,MI,48207,US,,,True
KFC 4040 Plainfield Avenue N.E,4040 Plainfield Avenue N.E,Grand Rapids,MI,49525,US,,,True
KFC 2856 28th Street S.E,2856 28th Street S.E,Kentwood,MI,49512,US,,,True
KFC 1191 N. U.S. Highway 31,1191 N. U.S. Highway 31,Petoskey,MI,49770,US,,,True
KFC 1191 N. U.S. Highway 31,1191 N. U.S. Highway 31,Petoskey,MI,49770,US,,,True
KFC 25551 Five Mile Road,25551 Five Mile Road,Redford,MI,48239,US,,,True
KFC 13785 Thirteen Mile Road,13785 Thirteen Mile Road,Warren,MI,48088,US,,,True
KFC 1516 28th Street S.W,1516 28th Street S.W,Wyoming,MI,49509,US,,,True
KFC 2510 56th Street S.W,2510 56th Street S.W,Wyoming,MI,49418,US,,,True
KFC 1510 2nd Street S.W,1510 2nd Street S.W,Rochester,MN,55902,US,,,True
KFC 717 12th Street South East,717 12th Street South East,Rochester,MN,55904,US,,,True
KFC 211 Highway 7 South,211 Highway 7 South,Blue Springs,MO,64014,US,,,True
KFC 17837 East 24 Highway,17837 East 24 Highway,Independence,MO,64056,US,,,True
KFC 1808 W. Battlefield Street,1808 W. Battlefield Street,Springfield,MO,65807,US,,,True
KFC 800 Fairview Road River Ridge Market Place,800 Fairview Road River Ridge Market Place,Asheville,NC,28803,US,,,True
KFC 6813 E. Wilkinson Boulevard,6813 E. Wilkinson Boulevard,Belmont,NC,28012,US,,,True
KFC 6813 E. Wilkinson Boulevard,6813 E. Wilkinson Boulevard,Belmont,NC,28012,US,,,True
KFC 12340 State Highway 210,12340 State Highway 210,Benson,NC,27504,US,,,True
KFC 12340 State Highway 210,12340 State Highway 210,Benson,NC,27504,US,,,True
KFC 1544 Highway 56,1544 Highway 56,Creedmoor,NC,27522,US,,,True
KFC 1544 Highway 56,1544 Highway 56,Creedmoor,NC,27522,US,,,True
KFC 1110 W. NC 54,1110 W. NC 54,Durham,NC,27707,US,,,True
KFC 1110 W. NC 54,1110 W. NC 54,Durham,NC,27707,US,,,True
KFC 5080 NC Highway 87 South,5080 NC Highway 87 South,Fayetteville,NC,28306,US,,,True
KFC 1599 US Highway 70 W,1599 US Highway 70 W,Garner,NC,27529,US,,,True
KFC 5530 North Carolina Highway 42,5530 North Carolina Highway 42,Garner,NC,27529,US,,,True
KFC 5530 North Carolina Highway 42,5530 North Carolina Highway 42,Garner,NC,27529,US,,,True
KFC 2000 South East Greenville Boulevard,2000 South East Greenville Boulevard,Greenville,NC,27858,US,,,True
KFC 600 West Greenville Boulevard,600 West Greenville Boulevard,Greenville,NC,27834,US,,,True
KFC 7108 G. B. Alford Highway,7108 G. B. Alford Highway,Holly Springs,NC,27540,US,,,True
KFC 7108 G. B. Alford Highway,7108 G. B. Alford Highway,Holly Springs,NC,27540,US,,,True
KFC 520 W. Second Street,520 W. Second Street,Lumberton,NC,28358,US,,,True
"KFC 1110 Highway 70, W","1110 Highway 70, W",Marion,NC,28752,US,,,True
KFC 3334 South Highway 226,3334 South Highway 226,Marion,NC,28752,US,,,True
KFC 115 College Ave,115 College Ave,Rutherfordton,NC,28139,US,,,True
KFC 115 College Ave,115 College Ave,Rutherfordton,NC,28139,US,,,True
KFC 901 Highway 301,901 Highway 301,Wilson,NC,27893,US,,,True
KFC 161 Wakelon Drive,161 Wakelon Drive,Zebulon,NC,27597,US,,,True
KFC 161 Wakelon Drive,161 Wakelon Drive,Zebulon,NC,27597,US,,,True
KFC 1100 Route 9 South,1100 Route 9 South,Old Bridge,NJ,8857,US,,,True
KFC 2650 County Road 516,2650 County Road 516,Old Bridge,NJ,8857,US,,,True
KFC One Garden State Plaza,One Garden State Plaza,Paramus,NJ,7652,US,,,True
KFC 12921 Central Avenue N.E,12921 Central Avenue N.E,Albuquerque,NM,87123,US,,,True
KFC 4901 Gibson Blvd S.E,4901 Gibson Blvd S.E,Albuquerque,NM,87108,US,,,True
KFC 5410 Fourth Street N.W,5410 Fourth Street N.W,Albuquerque,NM,87107,US,,,True
KFC 6200 San Mateo Boulevard N.E,6200 San Mateo Boulevard N.E,Albuquerque,NM,87109,US,,,True
KFC 1050 U.S. Highway 491,1050 U.S. Highway 491,Gallup,NM,87301,US,,,True
KFC 1611 West Old Route 66,1611 West Old Route 66,Moriarty,NM,87035,US,,,True
KFC 1611 West Old Route 66,1611 West Old Route 66,Moriarty,NM,87035,US,,,True
KFC 1353 E Silverado Ranch Blvd,1353 E Silverado Ranch Blvd,Las Vegas,NV,89183,US,,,True
KFC 3812 E Craig Road Food Court,3812 E Craig Road Food Court,North Las Vegas,NV,89030,US,,,True
KFC 275 N McCarran St,275 N McCarran St,Sparks,NV,89431,US,,,True
KFC 5219-5233 Fifth Avenue,5219-5233 Fifth Avenue,Brooklyn,NY,11220,US,,,True
KFC 158-05 Union Turnpike,158-05 Union Turnpike,Flushing,NY,11366,US,,,True
KFC 152-12 Rockaway Blvd,152-12 Rockaway Blvd,Jamaica,NY,11434,US,,,True
KFC 1055 7th North Street,1055 7th North Street,Liverpool,NY,13088,US,,,True
KFC 2303 West Tusc,2303 West Tusc,Canton,OH,44708,US,,,True
KFC 3614 Harmont Avenue N.E,3614 Harmont Avenue N.E,Canton,OH,44705,US,,,True
KFC 5210 Detroit Road,5210 Detroit Road,Elyria,OH,44035,US,,,True
KFC 3904 W. Owen K. Garriot,3904 W. Owen K. Garriot,Enid,OK,73703,US,,,True
KFC 702 East Main,702 East Main,Enid,OK,73701,US,,,True
KFC 8 S.E. Lee Blvd,8 S.E. Lee Blvd,Lawton,OK,73501,US,,,True
KFC 10190 SW Beaverton Hillsdale,10190 SW Beaverton Hillsdale,Beaverton,OR,97005,US,,,True
KFC 7340 NW Butler Road,7340 NW Butler Road,Hillsboro,OR,97124,US,,,True
KFC 5721 NE Martin Luther King,5721 NE Martin Luther King,Portland,OR,97211,US,,,True
KFC 2525 Sixth Ave,2525 Sixth Ave,Altoona,PA,16602,US,,,True
KFC 278 Yost Blvd,278 Yost Blvd,Pittsburgh,PA,15221,US,,,True
KFC 241 Lancaster Pike West,241 Lancaster Pike West,Reading,PA,19607,US,,,True
KFC 653 Highway 28 By-Pass,653 Highway 28 By-Pass,Anderson,SC,29624,US,,,True
KFC 219 By Pass 72 NW,219 By Pass 72 NW,Greenwood,SC,29649,US,,,True
KFC 1263 Great Falls Highway,1263 Great Falls Highway,Lancaster,SC,29720,US,,,True
KFC 582 521 Bypass Hwy 9,582 521 Bypass Hwy 9,Lancaster,SC,29720,US,,,True
KFC 1020 Glen Forest Road,1020 Glen Forest Road,Myrtle Beach,SC,29579,US,,,True
KFC 4426 Jefferson Davis Highway,4426 Jefferson Davis Highway,North Augusta,SC,29841,US,,,True
KFC 4630 W. Broad Street,4630 W. Broad Street,Sumter,SC,29154,US,,,True
KFC 300 South Kiwanis,300 South Kiwanis,Sioux Falls,SD,57104,US,,,True
KFC 2325 McGrady Drive S.E,2325 McGrady Drive S.E,Cleveland,TN,37323,US,,,True
